trial_id,total_detections,fire_extinguisher_count,first_aid_box_count,correct_detections,false_detections,missed_objects_count,precision,recall,f1_score,avg_confidence,avg_position_error_m,exploration_time_s,verification_time_s,total_time_s,map_coverage_pct
1,8,4,4,8,0,0,1.0,1.0,1.0,0.917,0.14,1313.9,1127.0,2440.9,97.19
2,8,4,4,8,0,0,1.0,1.0,1.0,0.901,0.117,1757.7,1527.0,3284.7,96.48
3,8,4,4,8,0,0,1.0,1.0,1.0,0.904,0.11,1450.8,1256.6,2707.4,97.39
4,6,3,3,6,0,2,1.0,0.75,0.857,0.899,0.126,1166.4,1007.8,2174.2,80.89
Mean ± Std,7.5 ± 0.9,3.8 ± 0.4,3.8 ± 0.4,7.5 ± 0.9,0.0 ± 0.0,0.5 ± 0.9,1.000 ± 0.000,0.938 ± 0.108,0.964 ± 0.062,0.905 ± 0.007,0.1 ± 0.0,1422.2 ± 218.3,1229.6 ± 192.9,2651.8 ± 411.2,93.0 ± 7.0
