epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2311.34,1.03045,0.74576,1.3123,0.91594,0.91148,0.94531,0.74524,1.2007,0.70294,1.38299,0.00076482,0.00076482,0.00076482
43,2366.29,1.00986,0.74127,1.29783,0.94768,0.89354,0.94339,0.73738,1.22162,0.72519,1.38977,0.000742815,0.000742815,0.000742815
44,2421.54,1.01258,0.73637,1.29434,0.94344,0.90364,0.93826,0.74673,1.2064,0.72393,1.38427,0.000720811,0.000720811,0.000720811
45,2476.54,0.98477,0.71177,1.28912,0.94124,0.89544,0.93622,0.74833,1.19566,0.71503,1.38452,0.000698806,0.000698806,0.000698806
46,2531.48,0.99264,0.70918,1.29045,0.92977,0.91371,0.94384,0.74542,1.19873,0.71496,1.38562,0.000676802,0.000676802,0.000676802
47,2586.55,0.97815,0.70197,1.27461,0.94584,0.89163,0.94168,0.75572,1.18768,0.68581,1.40013,0.000654798,0.000654798,0.000654798
48,2641.52,0.97036,0.68304,1.27614,0.92299,0.90684,0.94145,0.75326,1.22228,0.73297,1.41492,0.000632793,0.000632793,0.000632793
49,2696.45,0.96282,0.68551,1.27322,0.95458,0.89844,0.94876,0.75347,1.19671,0.68252,1.36978,0.000610789,0.000610789,0.000610789
50,2751.58,0.95763,0.68081,1.26718,0.93644,0.91825,0.94698,0.7578,1.2027,0.68783,1.3956,0.000588784,0.000588784,0.000588784
51,2806.36,0.94102,0.6685,1.25105,0.93489,0.90818,0.94093,0.75366,1.19132,0.67644,1.38969,0.00056678,0.00056678,0.00056678
52,2861.63,0.92807,0.65171,1.23949,0.92862,0.92338,0.94615,0.74583,1.2404,0.69109,1.4454,0.000544776,0.000544776,0.000544776
53,2916.41,0.92015,0.64732,1.24547,0.95094,0.91062,0.94398,0.75138,1.23467,0.69891,1.42386,0.000522771,0.000522771,0.000522771
54,2971.03,0.90483,0.64028,1.23474,0.95856,0.89163,0.94377,0.75877,1.16292,0.68854,1.37356,0.000500767,0.000500767,0.000500767
55,3026.04,0.90596,0.63307,1.22962,0.94327,0.92053,0.94725,0.76979,1.19137,0.6777,1.38177,0.000478762,0.000478762,0.000478762
56,3080.67,0.88901,0.61427,1.21743,0.93716,0.90415,0.9431,0.75915,1.17042,0.71138,1.38607,0.000456758,0.000456758,0.000456758
